id,title,normalized_role,company,location,work_mode,seniority,required_skills,preferred_skills,minimum_experience,salary_min,salary_max,currency,source_url,published_at,collected_at,description
JOB-016,Data Analyst,Data Analyst,SeaBank,Jakarta,Onsite,Mid,"SQL|Python|Tableau|Statistics","Excel|Looker",2,10000000,15000000,IDR,https://example.com/job/016,2026-06-30,2026-07-10,Analisis data perbankan digital untuk insight pertumbuhan nasabah.
JOB-017,Business Analyst,Data Analyst,OVO,Jakarta,Hybrid,Mid,"SQL|Excel|Stakeholder Management|Process Mapping","Python|Tableau",2,8500000,13000000,IDR,https://example.com/job/017,2026-07-01,2026-07-10,Mengidentifikasi inefisiensi proses bisnis di produk dompet digital.
JOB-018,Business Analyst - Operations,Business Analyst,Gojek,Jakarta,Onsite,Junior,"SQL|Excel|Stakeholder Management|Process Mapping","Python|Looker",2,8000000,12000000,IDR,https://example.com/job/018,2026-06-20,2026-07-10,Mengidentifikasi inefficiency di proses operasional dan memberikan rekomendasi berbasis data.
JOB-019,Business Analyst,Business Analyst,Tiket.com,Bandung,Hybrid,Mid,"SQL|Excel|Process Mapping|Stakeholder Management","Tableau|Python",3,10000000,15000000,IDR,https://example.com/job/019,2026-06-21,2026-07-10,Bertanggung jawab mengelola requirement produk dan menjembatani bisnis dengan tim engineering.
JOB-020,Senior Business Analyst,Business Analyst,Traveloka,Jakarta,Remote,Senior,"SQL|Excel|Process Mapping|Stakeholder Management|Agile","Python|Tableau",5,18000000,25000000,IDR,https://example.com/job/020,2026-06-22,2026-07-10,Memimpin inisiatif transformasi bisnis dan digitalisasi proses di unit hospitality.
JOB-021,Business Analyst,Business Analyst,Bukalapak,Jakarta,Hybrid,Mid,"SQL|Excel|Process Mapping|Stakeholder Management|Data Analysis","Python|Tableau",2,9000000,14000000,IDR,https://example.com/job/021,2026-06-23,2026-07-10,Menganalisis metrik marketplace dan memberikan rekomendasi strategis ke tim produk.
JOB-022,Business Analyst - Fintech,Business Analyst,GoTo Financial,Jakarta,Onsite,Mid,"SQL|Excel|Stakeholder Management|Process Mapping|Data Analysis","Python|Looker",3,11000000,17000000,IDR,https://example.com/job/022,2026-06-24,2026-07-10,Mengelola kebutuhan bisnis produk pinjaman dan asuransi digital.
JOB-023,Junior Business Analyst,Business Analyst,Blibli,Surabaya,Remote,Junior,"SQL|Excel|Stakeholder Management","Process Mapping|Python",1,7000000,10000000,IDR,https://example.com/job/023,2026-06-25,2026-07-10,Membantu tim dalam pengumpulan data dan dokumentasi requirement.
JOB-024,Business Analyst - Logistics,Business Analyst,SiCepat,Jakarta,Hybrid,Mid,"SQL|Excel|Process Mapping|Stakeholder Management|Data Analysis","Tableau|Python",3,9500000,14000000,IDR,https://example.com/job/024,2026-06-26,2026-07-10,Menganalisis alur operasional logistik dan mengidentifikasi area improvement.
JOB-025,Business Analyst,Business Analyst,Bank BCA,Jakarta,Onsite,Mid,"SQL|Excel|Process Mapping|Stakeholder Management","Python|Tableau",3,10000000,16000000,IDR,https://example.com/job/025,2026-06-27,2026-07-10,Menjembatani kebutuhan bisnis perbankan digital dengan tim pengembang.
JOB-026,Senior Business Analyst,Business Analyst,Telkomsel,Jakarta,Hybrid,Senior,"SQL|Excel|Process Mapping|Stakeholder Management|Agile|Python","Tableau|Project Management",5,20000000,28000000,IDR,https://example.com/job/026,2026-06-28,2026-07-10,Memimpin transformasi digital dan inisiatif data-driven di unit bisnis.
JOB-027,Business Analyst,Business Analyst,Astra Digital,Jakarta,Hybrid,Mid,"SQL|Excel|Process Mapping|Stakeholder Management","Python|Tableau",3,10000000,15000000,IDR,https://example.com/job/027,2026-06-29,2026-07-10,Menganalisis peluang bisnis baru dan menyusun business requirement document.
JOB-028,Business Analyst - Marketplace,Business Analyst,Shopee Indonesia,Jakarta,Onsite,Mid,"SQL|Excel|Process Mapping|Stakeholder Management|Data Analysis","Python|Tableau|A/B Testing",2,10000000,15000000,IDR,https://example.com/job/028,2026-06-30,2026-07-10,Menganalisis metrik seller dan buyer untuk meningkatkan pengalaman marketplace.
JOB-029,Junior Business Analyst,Business Analyst,eFishery,Bandung,Hybrid,Junior,"SQL|Excel|Stakeholder Management","Process Mapping|Tableau",1,6500000,9500000,IDR,https://example.com/job/029,2026-07-01,2026-07-10,Mendukung tim produk aquatech dalam dokumentasi requirement dan data analisis.
JOB-030,Business Analyst - Ecommerce,Business Analyst,Sociolla,Jakarta,Remote,Mid,"SQL|Excel|Process Mapping|Stakeholder Management","Python|Tableau|Google Analytics",2,9000000,13000000,IDR,https://example.com/job/030,2026-07-02,2026-07-10,Menganalisis metrik penjualan dan perilaku pelanggan untuk insight bisnis.
JOB-031,Business Analyst,Business Analyst,Xendit,Jakarta,Onsite,Junior,"SQL|Excel|Stakeholder Management|Process Mapping","Python|Tableau",1,8000000,12000000,IDR,https://example.com/job/031,2026-07-03,2026-07-10,Mendokumentasikan proses bisnis pembayaran dan kebutuhan integrasi merchant.
JOB-032,Business Analyst,Business Analyst,JD.ID,Jakarta,Hybrid,Mid,"SQL|Excel|Stakeholder Management|Process Mapping","Python|Tableau",3,9000000,14000000,IDR,https://example.com/job/032,2026-07-04,2026-07-10,Mengelola requirement untuk fitur-fitur e-commerce dan integrasi with 3PL.
JOB-033,Python Backend Developer,Python Backend Developer,Gojek,Jakarta,Hybrid,Mid,"Python|FastAPI|PostgreSQL|Redis|Docker","Kubernetes|gRPC|Kafka",3,15000000,22000000,IDR,https://example.com/job/033,2026-06-15,2026-07-10,Mengembangkan microservices untuk platform ride-hailing dengan availability tinggi.
JOB-034,Senior Python Backend Engineer,Python Backend Developer,Traveloka,Bandung,Remote,Senior,"Python|FastAPI|PostgreSQL|Docker|Redis","Kubernetes|gRPC",5,25000000,35000000,IDR,https://example.com/job/034,2026-06-16,2026-07-10,Membangun dan mengelola microservices untuk platform booking dengan trafik tinggi.
JOB-035,Python Backend Developer,Python Backend Developer,Tiket.com,Jakarta,Hybrid,Mid,"Python|Django|PostgreSQL|Docker|Redis","FastAPI|Kubernetes|Celery",3,14000000,20000000,IDR,https://example.com/job/035,2026-06-17,2026-07-10,Mengembangkan REST API untuk platform tiket dan events.
JOB-036,Junior Python Developer,Python Backend Developer,Bukalapak,Jakarta,Onsite,Junior,"Python|PostgreSQL|Flask|Docker","FastAPI|Redis",1,8000000,12000000,IDR,https://example.com/job/036,2026-06-18,2026-07-10,Membantu pengembangan backend marketplace dengan fokus pada modul produk.
JOB-037,Python Backend Engineer,Python Backend Developer,Xendit,Jakarta,Hybrid,Mid,"Python|FastAPI|PostgreSQL|Docker|Redis|Kafka","Kubernetes|gRPC|AWS",3,16000000,23000000,IDR,https://example.com/job/037,2026-06-19,2026-07-10,Mengembangkan sistem pembayaran real-time dengan reliability 99.99%.
JOB-038,Backend Developer - Python,Python Backend Developer,GoTo Financial,Jakarta,Hybrid,Mid,"Python|FastAPI|PostgreSQL|Redis|Docker|Kafka","Kubernetes|gRPC|Microservices",3,15000000,22000000,IDR,https://example.com/job/038,2026-06-20,2026-07-10,Mengembangkan platform fintech untuk layanan paylater dan pinjaman.
JOB-039,Senior Python Backend Developer,Python Backend Developer,Blibli,Bandung,Remote,Senior,"Python|FastAPI|Django|PostgreSQL|Docker|Redis|Kubernetes","gRPC|Kafka|AWS",5,22000000,32000000,IDR,https://example.com/job/039,2026-06-21,2026-07-10,Memimpin tim backend untuk fitur-fitur core e-commerce dengan skala tinggi.
JOB-040,Python Backend Developer,Python Backend Developer,OVO,Jakarta,Hybrid,Mid,"Python|FastAPI|PostgreSQL|Redis|Docker","Kubernetes|gRPC|Microservices",3,15000000,22000000,IDR,https://example.com/job/040,2026-06-22,2026-07-10,Mengembangkan dan memelihara layanan backend dompet digital.
JOB-041,Python Backend Engineer,Python Backend Developer,SeaBank,Jakarta,Onsite,Mid,"Python|FastAPI|PostgreSQL|Docker|Redis","Kubernetes|gRPC|Kafka",3,14000000,20000000,IDR,https://example.com/job/041,2026-06-23,2026-07-10,Membangun sistem perbankan digital dengan fokus pada keamanan dan performa.
JOB-042,Junior Python Backend Developer,Python Backend Developer,eFishery,Bandung,Hybrid,Junior,"Python|PostgreSQL|Docker|Flask","FastAPI|Redis",1,8000000,12000000,IDR,https://example.com/job/042,2026-06-24,2026-07-10,Mengembangkan fitur-fitur platform aquatech untuk budidaya perikanan.
JOB-043,Python Backend Developer,Python Backend Developer,KoinWorks,Jakarta,Hybrid,Mid,"Python|FastAPI|PostgreSQL|Docker|Redis|Kafka","Kubernetes|gRPC|AWS",3,14000000,20000000,IDR,https://example.com/job/043,2026-06-25,2026-07-10,Mengembangkan platform P2P lending dengan fokus pada scoring engine.
JOB-044,Senior Python Backend,Python Backend Developer,Shopee Indonesia,Jakarta,Onsite,Senior,"Python|FastAPI|Django|PostgreSQL|Docker|Kubernetes|Redis|Kafka","gRPC|Elasticsearch|AWS",5,25000000,35000000,IDR,https://example.com/job/044,2026-06-26,2026-07-10,Memimpin pengembangan backend untuk platform marketplace skala besar.
JOB-045,Python Backend Developer,Python Backend Developer,BCA Digital,Jakarta,Hybrid,Mid,"Python|FastAPI|PostgreSQL|Docker|Redis|Kafka","Kubernetes|gRPC|AWS",3,15000000,22000000,IDR,https://example.com/job/045,2026-06-27,2026-07-10,Mengembangkan layanan backend perbankan digital dengan standar keamanan tinggi.
JOB-046,Python Backend Engineer,Python Backend Developer,Telkomsel,Jakarta,Hybrid,Mid,"Python|FastAPI|PostgreSQL|Docker|Redis","Kubernetes|Kafka|AWS",3,14000000,21000000,IDR,https://example.com/job/046,2026-06-28,2026-07-10,Mengembangkan platform digital telco untuk layanan pelanggan dan billing.
JOB-047,Python Backend,Python Backend Developer,Astra Digital,Jakarta,Hybrid,Mid,"Python|FastAPI|PostgreSQL|Docker|Redis|Kafka","Kubernetes|gRPC|AWS",3,14000000,20000000,IDR,https://example.com/job/047,2026-06-29,2026-07-10,Mengembangkan sistem backend untuk aplikasi mobilitas dan otomotif.
JOB-048,Backend Developer Python,Python Backend Developer,Mekari,Jakarta,Remote,Junior,"Python|Django|PostgreSQL|Docker","FastAPI|Redis",1,9000000,13000000,IDR,https://example.com/job/048,2026-06-30,2026-07-10,Mengembangkan fitur-fitur platform SaaS untuk akuntansi dan HR.
JOB-049,UI/UX Designer,UI/UX Designer,Gojek,Jakarta,Hybrid,Mid,"Figma|User Research|Prototyping|Design Systems|Usability Testing","HTML/CSS|Design Thinking",3,12000000,18000000,IDR,https://example.com/job/049,2026-06-15,2026-07-10,Merancang pengalaman pengguna untuk super-app Gojek dengan fokus pada kemudahan akses.
JOB-050,Senior UI/UX Designer,UI/UX Designer,Traveloka,Bandung,Remote,Senior,"Figma|User Research|Prototyping|Design Systems|Usability Testing|Design Thinking","HTML/CSS|Motion Design",5,20000000,30000000,IDR,https://example.com/job/050,2026-06-16,2026-07-10,Memimpin tim design untuk produk travel dan hospitality.
JOB-051,UI/UX Designer,UI/UX Designer,Tiket.com,Jakarta,Hybrid,Mid,"Figma|User Research|Prototyping|Design Systems","Usability Testing|Design Thinking",2,10000000,15000000,IDR,https://example.com/job/051,2026-06-17,2026-07-10,Mendesain interface yang intuitif untuk platform tiket dan events.
JOB-052,Junior UI/UX Designer,UI/UX Designer,Bukalapak,Jakarta,Onsite,Junior,"Figma|User Research|Prototyping","Design Systems|Usability Testing",1,7000000,10000000,IDR,https://example.com/job/052,2026-06-18,2026-07-10,Membantu riset pengguna dan mendesain wireframe untuk fitur marketplace.
JOB-053,UI/UX Designer,UI/UX Designer,Shopee Indonesia,Jakarta,Hybrid,Mid,"Figma|User Research|Prototyping|Design Systems|Usability Testing|Design Thinking","Motion Design|HTML/CSS",3,13000000,19000000,IDR,https://example.com/job/053,2026-06-19,2026-07-10,Mendesain pengalaman belanja yang seamless untuk platform e-commerce.
JOB-054,UI/UX Designer,UI/UX Designer,Dana,Jakarta,Hybrid,Mid,"Figma|User Research|Prototyping|Usability Testing","Design Systems|Design Thinking",2,11000000,16000000,IDR,https://example.com/job/054,2026-06-20,2026-07-10,Merancang antarmuka dompet digital yang aman dan mudah digunakan.
JOB-055,Senior UI/UX Designer,UI/UX Designer,OVO,Jakarta,Hybrid,Senior,"Figma|User Research|Prototyping|Design Systems|Usability Testing|Design Thinking","Motion Design|Product Strategy",5,20000000,28000000,IDR,https://example.com/job/055,2026-06-21,2026-07-10,Memimpin strategi design produk fintech untuk meningkatkan engagement pengguna.
JOB-056,UI/UX Designer,UI/UX Designer,Halodoc,Jakarta,Remote,Mid,"Figma|User Research|Prototyping|Design Systems|Usability Testing","Design Thinking|HTML/CSS",2,10000000,15000000,IDR,https://example.com/job/056,2026-06-22,2026-07-10,Mendesain pengalaman telemedicine yang humanis dan mudah diakses.
JOB-057,UI/UX Designer,UI/UX Designer,Blibli,Yogyakarta,Onsite,Mid,"Figma|User Research|Prototyping|Design Systems","Usability Testing|Motion Design",2,9000000,14000000,IDR,https://example.com/job/057,2026-06-23,2026-07-10,Merancang interface untuk fitur-fitur baru e-commerce fashion dan elektronik.
JOB-058,Junior UI/UX Designer,UI/UX Designer,Sociolla,Surabaya,Remote,Junior,"Figma|User Research|Prototyping","Design Systems|Usability Testing",1,6500000,9500000,IDR,https://example.com/job/058,2026-06-24,2026-07-10,Mendesain antarmuka toko kecantikan online dengan fokus pada visual appeal.
JOB-059,UI/UX Designer,UI/UX Designer,Bank BCA,Jakarta,Onsite,Mid,"Figma|User Research|Prototyping|Design Systems|Usability Testing","Design Thinking|Motion Design",3,12000000,18000000,IDR,https://example.com/job/059,2026-06-25,2026-07-10,Merancang pengalaman mobile banking yang modern dan aman.
JOB-060,UI/UX Designer - Product,UI/UX Designer,Astra Digital,Jakarta,Hybrid,Mid,"Figma|User Research|Prototyping|Design Systems|Usability Testing","Design Thinking|Animation",3,11000000,17000000,IDR,https://example.com/job/060,2026-06-26,2026-07-10,Mendesain aplikasi mobilitas dan layanan otomotif digital.
JOB-061,UI/UX Designer,UI/UX Designer,Alodokter,Jakarta,Hybrid,Mid,"Figma|User Research|Prototyping|Design Systems","Usability Testing|Design Thinking",2,10000000,15000000,IDR,https://example.com/job/061,2026-06-27,2026-07-10,Mendesain platform kesehatan digital yang informatif dan mudah digunakan.
JOB-062,Senior UI/UX Designer,UI/UX Designer,Bank Mandiri,Jakarta,Hybrid,Senior,"Figma|User Research|Prototyping|Design Systems|Usability Testing|Design Thinking","Motion Design|HTML/CSS",5,22000000,32000000,IDR,https://example.com/job/062,2026-06-28,2026-07-10,Memimpin transformasi design sistem perbankan digital untuk nasabah ritel.
JOB-063,UI/UX Designer,UI/UX Designer,JD.ID,Jakarta,Hybrid,Mid,"Figma|User Research|Prototyping|Design Systems","Usability Testing|HTML/CSS",3,10000000,15000000,IDR,https://example.com/job/063,2026-06-29,2026-07-10,Merancang pengalaman berbelanja yang intuitif untuk platform e-commerce.
JOB-064,Product Manager,Product Manager,Gojek,Jakarta,Hybrid,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research","SQL|Technical Background",3,15000000,22000000,IDR,https://example.com/job/064,2026-06-15,2026-07-10,Memimpin roadmap produk GoFood untuk meningkatkan jumlah merchant dan transaksi.
JOB-065,Senior Product Manager,Product Manager,Traveloka,Bandung,Remote,Senior,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research|Product Analytics","SQL|Technical Background|KPI Definition",5,25000000,35000000,IDR,https://example.com/job/065,2026-06-16,2026-07-10,Memimpin strategi produk untuk vertical accommodation dengan target pertumbuhan 30% YoY.
JOB-066,Product Manager,Product Manager,Tiket.com,Jakarta,Hybrid,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research","SQL|Product Analytics",3,14000000,20000000,IDR,https://example.com/job/066,2026-06-17,2026-07-10,Mengelola product lifecycle untuk fitur events dan entertainment.
JOB-067,Associate Product Manager,Product Manager,Bukalapak,Jakarta,Onsite,Junior,"Product Strategy|Agile|Stakeholder Management|Data Analysis","User Research|SQL",1,8000000,12000000,IDR,https://example.com/job/067,2026-06-18,2026-07-10,Mendukung product manager senior dalam mengelola backlog dan sprint planning.
JOB-068,Product Manager - Fintech,Product Manager,GoTo Financial,Jakarta,Hybrid,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research","SQL|Product Analytics",3,16000000,23000000,IDR,https://example.com/job/068,2026-06-19,2026-07-10,Memimpin produk pembayaran digital di ekosistem GoTo Financial.
JOB-069,Product Manager,Product Manager,Shopee Indonesia,Jakarta,Onsite,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research|Product Analytics","SQL|Technical Background|Experiment Design",3,15000000,22000000,IDR,https://example.com/job/069,2026-06-20,2026-07-10,Mengembangkan fitur marketplace dengan fokus pada metrik konversi dan retensi.
JOB-070,Senior Product Manager,Product Manager,Dana,Jakarta,Hybrid,Senior,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research|Product Analytics","SQL|Technical Background|KPI Definition",5,23000000,32000000,IDR,https://example.com/job/070,2026-06-21,2026-07-10,Memimpin inisiatif produk lintas tim untuk ekosistem keuangan digital.
JOB-071,Product Manager,Product Manager,Halodoc,Jakarta,Remote,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research","SQL|Product Analytics|Healthcare Domain",3,14000000,20000000,IDR,https://example.com/job/071,2026-06-22,2026-07-10,Mengelola produk telemedicine dan apotek digital.
JOB-072,Product Manager,Product Manager,Blibli,Surabaya,Hybrid,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research","SQL|Product Analytics",2,12000000,17000000,IDR,https://example.com/job/072,2026-06-23,2026-07-10,Mengembangkan fitur-fitur untuk meningkatkan conversion rate platform e-commerce.
JOB-073,Associate Product Manager,Product Manager,eFishery,Bandung,Hybrid,Junior,"Product Strategy|Agile|Stakeholder Management|Data Analysis","User Research|SQL",1,8000000,11000000,IDR,https://example.com/job/073,2026-06-24,2026-07-10,Mendukung pengembangan produk platform aquatech untuk petambak ikan.
JOB-074,Product Manager - Lending,Product Manager,KoinWorks,Jakarta,Hybrid,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research|Product Analytics","SQL|Risk Management",3,15000000,21000000,IDR,https://example.com/job/074,2026-06-25,2026-07-10,Memimpin produk P2P lending dengan fokus pada customer acquisition dan risk scoring.
JOB-075,Product Manager,Product Manager,OVO,Jakarta,Hybrid,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research","SQL|Product Analytics",3,15000000,22000000,IDR,https://example.com/job/075,2026-06-26,2026-07-10,Mengelola produk dompet digital dengan fokus fitur loyalty dan rewards.
JOB-076,Senior Product Manager,Product Manager,BCA Digital,Jakarta,Hybrid,Senior,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research|Product Analytics|KPI Definition","SQL|Technical Background",5,25000000,35000000,IDR,https://example.com/job/076,2026-06-27,2026-07-10,Memimpin pengembangan produk mobile banking untuk nasabah premium.
JOB-077,Product Manager - Telco,Product Manager,Telkomsel,Jakarta,Onsite,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research","SQL|Product Analytics",3,14000000,20000000,IDR,https://example.com/job/077,2026-06-28,2026-07-10,Mengelola produk digital lifestyle untuk ekosistem telekomunikasi.
JOB-078,Product Manager,Product Manager,Astra Digital,Jakarta,Hybrid,Mid,"Product Strategy|Agile|Stakeholder Management|Data Analysis|User Research|Product Analytics","SQL|Technical Background",3,15000000,21000000,IDR,https://example.com/job/078,2026-06-29,2026-07-10,Memimpin pengembangan produk aplikasi mobilitas dan layanan otomotif.
JOB-079,Frontend Developer,Frontend Developer,Gojek,Jakarta,Hybrid,Mid,"React|TypeScript|JavaScript|HTML/CSS|Git","Next.js|Tailwind CSS|GraphQL|Testing",3,12000000,18000000,IDR,https://example.com/job/079,2026-06-15,2026-07-10,Mengembangkan fitur-fitur antarmuka pengguna untuk super-app dengan performa tinggi.
JOB-080,Senior Frontend Engineer,Frontend Developer,Traveloka,Bandung,Remote,Senior,"React|TypeScript|JavaScript|HTML/CSS|Next.js|Git|Tailwind CSS","GraphQL|React Native|Testing|Performance",5,22000000,32000000,IDR,https://example.com/job/080,2026-06-16,2026-07-10,Memimpin arsitektur frontend untuk platform travel dengan fokus pada user experience.
JOB-081,Frontend Developer,Frontend Developer,Tiket.com,Jakarta,Hybrid,Mid,"React|TypeScript|JavaScript|HTML/CSS|Git","Next.js|Tailwind CSS|GraphQL",2,10000000,15000000,IDR,https://example.com/job/081,2026-06-17,2026-07-10,Mengembangkan fitur-fitur frontend untuk platform tiket dan events.
JOB-082,Junior Frontend Developer,Frontend Developer,Bukalapak,Jakarta,Onsite,Junior,"JavaScript|HTML/CSS|React|Git","TypeScript|Tailwind CSS",1,7000000,10000000,IDR,https://example.com/job/082,2026-06-18,2026-07-10,Membantu pengembangan antarmuka pengguna untuk fitur-fitur marketplace.
JOB-083,Frontend Engineer,Frontend Developer,Shopee Indonesia,Jakarta,Hybrid,Mid,"React|TypeScript|JavaScript|HTML/CSS|Git|Tailwind CSS","Next.js|GraphQL|Testing|Performance",3,13000000,19000000,IDR,https://example.com/job/083,2026-06-19,2026-07-10,Mengembangkan antarmuka e-commerce dengan pengalaman belanja yang mulus.
JOB-084,Frontend Developer,Frontend Developer,Dana,Jakarta,Hybrid,Mid,"React|TypeScript|JavaScript|HTML/CSS|Git","Next.js|Tailwind CSS|GraphQL|Testing",2,11000000,16000000,IDR,https://example.com/job/084,2026-06-20,2026-07-10,Mengembangkan frontend dompet digital dengan fokus pada keamanan dan UX.
JOB-085,Senior Frontend Engineer,Frontend Developer,Blibli,Bandung,Remote,Senior,"React|TypeScript|JavaScript|HTML/CSS|Next.js|Git|Tailwind CSS","GraphQL|React Native|Testing|Performance",5,20000000,30000000,IDR,https://example.com/job/085,2026-06-21,2026-07-10,Memimpin tim frontend untuk platform e-commerce dengan skala jutaan pengguna.
JOB-086,Frontend Developer,Frontend Developer,OVO,Jakarta,Hybrid,Mid,"React|TypeScript|JavaScript|HTML/CSS|Git","Next.js|Tailwind CSS|GraphQL|Testing",2,12000000,18000000,IDR,https://example.com/job/086,2026-06-22,2026-07-10,Mengembangkan antarmuka dompet digital yang responsif dan accessible.
JOB-087,Frontend Developer - Web,Frontend Developer,GoTo Financial,Jakarta,Hybrid,Mid,"React|TypeScript|JavaScript|HTML/CSS|Git","Next.js|Tailwind CSS|GraphQL|Storybook",3,13000000,19000000,IDR,https://example.com/job/087,2026-06-23,2026-07-10,Mengembangkan frontend untuk produk fintech dengan standar kualitas tinggi.
JOB-088,Junior Frontend,Frontend Developer,eFishery,Bandung,Hybrid,Junior,"JavaScript|HTML/CSS|React|Git","TypeScript|Tailwind CSS",1,6500000,9500000,IDR,https://example.com/job/088,2026-06-24,2026-07-10,Mengembangkan antarmuka dashboard monitoring budidaya ikan berbasis web.
JOB-089,Frontend Developer,Frontend Developer,Bank BCA,Jakarta,Onsite,Mid,"React|TypeScript|JavaScript|HTML/CSS|Git","Next.js|Tailwind CSS|GraphQL|Testing",3,12000000,18000000,IDR,https://example.com/job/089,2026-06-25,2026-07-10,Mengembangkan frontend internet banking dengan standar aksesibilitas dan keamanan.
